floor,area,block,row,seat,grade
1,6,101,18,4,S
1,6,101,18,5,S
1,6,101,18,6,S
1,6,101,18,7,S
1,6,101,18,8,S
1,6,101,18,9,S
1,6,101,18,10,S
1,6,101,18,11,S
1,6,101,19,1,S
1,6,101,19,2,S
1,6,101,19,3,S
1,6,101,19,4,S
1,6,101,19,5,S
1,6,101,19,6,S
1,6,101,19,7,S
1,6,101,19,8,S
1,6,101,19,9,S
1,6,101,19,10,S
1,6,101,19,11,S
1,6,101,20,1,S
1,6,101,20,2,S
1,6,101,20,3,S
1,6,101,20,4,S
1,6,101,20,5,S
1,6,101,20,6,S
1,6,101,20,7,S
1,6,101,20,8,S
1,6,101,20,9,S
1,6,101,20,10,S
1,6,101,20,11,S
1,13,102,1,1,C
1,13,102,1,5,C
1,13,102,1,9,C
1,6,102,2,5,S
1,6,102,2,6,S
1,6,102,2,7,S
1,6,102,2,8,S
1,6,102,3,3,S
1,6,102,3,4,S
1,6,102,3,5,S
1,6,102,3,6,S
1,6,102,3,7,S
1,6,102,3,8,S
1,6,102,4,1,S
1,6,102,4,2,S
1,6,102,4,3,S
1,6,102,4,4,S
1,6,102,4,5,S
1,6,102,4,6,S
1,6,102,4,7,S
1,6,102,4,8,S
1,6,102,4,9,S
1,6,102,5,3,S
1,6,102,5,4,S
1,6,102,5,5,S
1,6,102,5,6,S
1,6,102,5,7,S
1,6,102,5,8,S
1,6,102,5,9,S
1,6,102,5,10,S
1,6,102,6,3,S
1,6,102,6,4,S
1,6,102,6,5,S
1,6,102,6,6,S
1,6,102,6,7,S
1,6,102,6,8,S
1,6,102,6,9,S
1,6,102,6,10,S
1,6,102,6,11,S
1,6,102,7,3,S
1,6,102,7,4,S
1,6,102,7,5,S
1,6,102,7,6,S
1,6,102,7,7,S
1,6,102,7,8,S
1,6,102,7,9,S
1,6,102,7,10,S
1,6,102,7,11,S
1,6,102,8,3,S
1,6,102,8,4,S
1,6,102,8,5,S
1,6,102,8,6,S
1,6,102,8,7,S
1,6,102,8,8,S
1,6,102,8,9,S
1,6,102,8,10,S
1,6,102,8,11,S
1,6,102,8,12,S
1,6,102,9,3,S
1,6,102,9,4,S
1,6,102,9,5,S
1,6,102,9,6,S
1,6,102,9,7,S
1,6,102,9,8,S
1,6,102,9,9,S
1,6,102,9,10,S
1,6,102,9,11,S
1,6,102,9,12,S
1,6,102,9,13,S
1,6,102,10,3,S
1,6,102,10,4,S
1,6,102,10,5,S
1,6,102,10,6,S
1,6,102,10,7,S
1,6,102,10,8,S
1,6,102,10,9,S
1,6,102,10,10,S
1,6,102,10,11,S
1,6,102,10,12,S
1,6,102,10,13,S
1,6,102,10,14,S
1,6,102,11,3,S
1,6,102,11,4,S
1,6,102,11,5,S
1,6,102,11,6,S
1,6,102,11,7,S
1,6,102,11,8,S
1,6,102,11,9,S
1,6,102,11,10,S
1,6,102,11,11,S
1,6,102,11,12,S
1,6,102,11,13,S
1,6,102,11,14,S
1,6,102,12,3,S
1,6,102,12,4,S
1,6,102,12,5,S
1,6,102,12,6,S
1,6,102,12,7,S
1,6,102,12,8,S
1,6,102,12,9,S
1,6,102,12,10,S
1,6,102,12,11,S
1,6,102,12,12,S
1,6,102,12,13,S
1,6,102,12,14,S
1,6,102,12,15,S
1,6,102,13,3,S
1,6,102,13,4,S
1,6,102,13,5,S
1,6,102,13,6,S
1,6,102,13,7,S
1,6,102,13,8,S
1,6,102,13,9,S
1,6,102,13,10,S
1,6,102,13,11,S
1,6,102,13,12,S
1,6,102,13,13,S
1,6,102,13,14,S
1,6,102,13,15,S
1,6,102,13,16,S
1,6,102,14,3,S
1,6,102,14,4,S
1,6,102,14,5,S
1,6,102,14,6,S
1,6,102,14,7,S
1,6,102,14,8,S
1,6,102,14,9,S
1,6,102,14,10,S
1,6,102,14,11,S
1,6,102,14,12,S
1,6,102,14,13,S
1,6,102,14,14,S
1,6,102,14,15,S
1,6,102,14,16,S
1,6,102,14,17,S
1,6,102,15,3,S
1,6,102,15,4,S
1,6,102,15,5,S
1,6,102,15,6,S
1,6,102,15,7,S
1,6,102,15,8,S
1,6,102,15,9,S
1,6,102,15,10,S
1,6,102,15,11,S
1,6,102,15,12,S
1,6,102,15,13,S
1,6,102,15,14,S
1,6,102,15,15,S
1,6,102,15,16,S
1,6,102,15,17,S
1,6,102,15,18,S
1,6,102,16,3,S
1,6,102,16,4,S
1,6,102,16,5,S
1,6,102,16,6,S
1,6,102,16,7,S
1,6,102,16,8,S
1,6,102,16,9,S
1,6,102,16,10,S
1,6,102,16,11,S
1,6,102,16,12,S
1,6,102,16,13,S
1,6,102,16,14,S
1,6,102,16,15,S
1,6,102,16,16,S
1,6,102,16,17,S
1,6,102,16,18,S
1,6,102,17,3,S
1,6,102,17,4,S
1,6,102,17,5,S
1,6,102,17,6,S
1,6,102,17,7,S
1,6,102,17,8,S
1,6,102,17,9,S
1,6,102,17,10,S
1,6,102,17,11,S
1,6,102,17,12,S
1,6,102,17,13,S
1,6,102,17,14,S
1,6,102,17,15,S
1,6,102,17,16,S
1,6,102,17,17,S
1,6,102,17,18,S
1,6,102,17,19,S
1,6,102,18,3,S
1,6,102,18,4,S
1,6,102,18,5,S
1,6,102,18,6,S
1,6,102,18,7,S
1,6,102,18,8,S
1,6,102,18,9,S
1,6,102,18,10,S
1,6,102,18,11,S
1,6,102,18,12,S
1,6,102,18,13,S
1,6,102,18,14,S
1,6,102,18,15,S
1,6,102,18,16,S
1,6,102,18,17,S
1,6,102,18,18,S
1,6,102,18,19,S
1,6,102,18,20,S
1,6,102,19,3,S
1,6,102,19,4,S
1,6,102,19,5,S
1,6,102,19,6,S
1,6,102,19,7,S
1,6,102,19,8,S
1,6,102,19,9,S
1,6,102,19,10,S
1,6,102,19,11,S
1,6,102,19,12,S
1,6,102,19,13,S
1,6,102,19,14,S
1,6,102,19,15,S
1,6,102,19,16,S
1,6,102,19,17,S
1,6,102,19,18,S
1,6,102,19,19,S
1,6,102,19,20,S
1,6,102,19,21,S
1,6,102,20,3,S
1,6,102,20,4,S
1,6,102,20,5,S
1,6,102,20,6,S
1,6,102,20,7,S
1,6,102,20,8,S
1,6,102,20,9,S
1,6,102,20,10,S
1,6,102,20,11,S
1,6,102,20,12,S
1,6,102,20,13,S
1,6,102,20,14,S
1,6,102,20,15,S
1,6,102,20,16,S
1,6,102,20,17,S
1,6,102,20,18,S
1,6,102,20,19,S
1,6,102,20,20,S
1,6,102,20,21,S
1,6,102,20,22,S
1,13,103,1,1,C
1,13,103,1,5,C
1,5,103,1,13,S
1,5,103,1,14,S
1,5,103,1,15,S
1,5,103,1,16,S
1,5,103,1,17,S
1,5,103,1,18,S
1,5,103,1,19,S
1,5,103,1,20,S
1,5,103,2,14,S
1,5,103,2,15,S
1,5,103,2,16,S
1,5,103,2,17,S
1,5,103,2,18,S
1,5,103,2,19,S
1,5,103,2,20,S
1,5,103,3,13,S
1,5,103,3,14,S
1,5,103,3,15,S
1,5,103,3,16,S
1,5,103,3,17,S
1,5,103,3,18,S
1,5,103,3,19,S
1,5,103,3,20,S
1,5,103,4,13,S
1,5,103,4,14,S
1,5,103,4,15,S
1,5,103,4,16,S
1,5,103,4,17,S
1,5,103,4,18,S
1,5,103,4,19,S
1,5,103,4,20,S
1,5,103,5,12,S
1,5,103,5,13,S
1,5,103,5,14,S
1,5,103,5,15,S
1,5,103,5,16,S
1,5,103,5,17,S
1,5,103,5,18,S
1,5,103,5,19,S
1,5,103,5,20,S
1,5,103,6,11,S
1,5,103,6,12,S
1,5,103,6,13,S
1,5,103,6,14,S
1,5,103,6,15,S
1,5,103,6,16,S
1,5,103,6,17,S
1,5,103,6,18,S
1,5,103,6,19,S
1,5,103,6,20,S
1,5,103,7,10,S
1,5,103,7,11,S
1,5,103,7,12,S
1,5,103,7,13,S
1,5,103,7,14,S
1,5,103,7,15,S
1,5,103,7,16,S
1,5,103,7,17,S
1,5,103,7,18,S
1,5,103,7,19,S
1,5,103,7,20,S
1,5,103,8,10,S
1,5,103,8,11,S
1,5,103,8,12,S
1,5,103,8,13,S
1,5,103,8,14,S
1,5,103,8,15,S
1,5,103,8,16,S
1,5,103,8,17,S
1,5,103,8,18,S
1,5,103,8,19,S
1,5,103,8,20,S
1,5,103,9,9,S
1,5,103,9,10,S
1,5,103,9,11,S
1,5,103,9,12,S
1,5,103,9,13,S
1,5,103,9,14,S
1,5,103,9,15,S
1,5,103,9,16,S
1,5,103,9,17,S
1,5,103,9,18,S
1,5,103,9,19,S
1,5,103,9,20,S
1,5,103,10,8,S
1,5,103,10,9,S
1,5,103,10,10,S
1,5,103,10,11,S
1,5,103,10,12,S
1,5,103,10,13,S
1,5,103,10,14,S
1,5,103,10,15,S
1,5,103,10,16,S
1,5,103,10,17,S
1,5,103,10,18,S
1,5,103,10,19,S
1,5,103,10,20,S
1,5,103,11,7,S
1,5,103,11,8,S
1,5,103,11,9,S
1,5,103,11,10,S
1,5,103,11,11,S
1,5,103,11,12,S
1,5,103,11,13,S
1,5,103,11,14,S
1,5,103,11,15,S
1,5,103,11,16,S
1,5,103,11,17,S
1,5,103,11,18,S
1,5,103,11,19,S
1,5,103,11,20,S
1,5,103,12,7,S
1,5,103,12,8,S
1,5,103,12,9,S
1,5,103,12,10,S
1,5,103,12,11,S
1,5,103,12,12,S
1,5,103,12,13,S
1,5,103,12,14,S
1,5,103,12,15,S
1,5,103,12,16,S
1,5,103,12,17,S
1,5,103,12,18,S
1,5,103,12,19,S
1,5,103,12,20,S
1,5,103,13,6,S
1,5,103,13,7,S
1,5,103,13,8,S
1,5,103,13,9,S
1,5,103,13,10,S
1,5,103,13,11,S
1,5,103,13,12,S
1,5,103,13,13,S
1,5,103,13,14,S
1,5,103,13,15,S
1,5,103,13,16,S
1,5,103,13,17,S
1,5,103,13,18,S
1,5,103,13,19,S
1,5,103,13,20,S
1,5,103,14,5,S
1,5,103,14,6,S
1,5,103,14,7,S
1,5,103,14,8,S
1,5,103,14,9,S
1,5,103,14,10,S
1,5,103,14,11,S
1,5,103,14,12,S
1,5,103,14,13,S
1,5,103,14,14,S
1,5,103,14,15,S
1,5,103,14,16,S
1,5,103,14,17,S
1,5,103,14,18,S
1,5,103,14,19,S
1,5,103,14,20,S
1,5,103,15,4,S
1,5,103,15,5,S
1,5,103,15,6,S
1,5,103,15,7,S
1,5,103,15,8,S
1,5,103,15,9,S
1,5,103,15,10,S
1,5,103,15,11,S
1,5,103,15,12,S
1,5,103,15,13,S
1,5,103,15,14,S
1,5,103,15,15,S
1,5,103,15,16,S
1,5,103,15,17,S
1,5,103,15,18,S
1,5,103,15,19,S
1,5,103,15,20,S
1,5,103,16,4,S
1,5,103,16,5,S
1,5,103,16,6,S
1,5,103,16,7,S
1,5,103,16,8,S
1,5,103,16,9,S
1,5,103,16,10,S
1,5,103,16,11,S
1,5,103,16,12,S
1,5,103,16,13,S
1,5,103,16,14,S
1,5,103,16,15,S
1,5,103,16,16,S
1,5,103,16,17,S
1,5,103,16,18,S
1,5,103,16,19,S
1,5,103,16,20,S
1,5,103,17,3,S
1,5,103,17,4,S
1,5,103,17,5,S
1,5,103,17,6,S
1,5,103,17,7,S
1,5,103,17,8,S
1,5,103,17,9,S
1,5,103,17,10,S
1,5,103,17,11,S
1,5,103,17,12,S
1,5,103,17,13,S
1,5,103,17,14,S
1,5,103,17,15,S
1,5,103,17,16,S
1,5,103,17,17,S
1,5,103,17,18,S
1,5,103,17,19,S
1,5,103,17,20,S
1,5,103,18,2,S
1,5,103,18,3,S
1,5,103,18,4,S
1,5,103,18,5,S
1,5,103,18,6,S
1,5,103,18,7,S
1,5,103,18,8,S
1,5,103,18,9,S
1,5,103,18,10,S
1,5,103,18,11,S
1,5,103,18,12,S
1,5,103,18,13,S
1,5,103,18,14,S
1,5,103,18,15,S
1,5,103,18,16,S
1,5,103,18,17,S
1,5,103,18,18,S
1,5,103,18,19,S
1,5,103,18,20,S
1,5,103,19,1,S
1,5,103,19,2,S
1,5,103,19,3,S
1,5,103,19,4,S
1,5,103,19,5,S
1,5,103,19,6,S
1,5,103,19,7,S
1,5,103,19,8,S
1,5,103,19,9,S
1,5,103,19,10,S
1,5,103,19,11,S
1,5,103,19,12,S
1,5,103,19,13,S
1,5,103,19,14,S
1,5,103,19,15,S
1,5,103,19,16,S
1,5,103,19,17,S
1,5,103,19,18,S
1,5,103,19,19,S
1,5,103,19,20,S
1,5,103,20,2,S
1,5,103,20,3,S
1,5,103,20,4,S
1,5,103,20,5,S
1,5,103,20,6,S
1,5,103,20,7,S
1,5,103,20,8,S
1,5,103,20,9,S
1,5,103,20,10,S
1,5,103,20,11,S
1,5,103,20,12,S
1,5,103,20,13,S
1,5,103,20,14,S
1,5,103,20,15,S
1,5,103,20,16,S
1,5,103,20,17,S
1,5,103,20,18,S
1,5,103,20,19,S
1,5,103,20,20,S
1,5,104,1,1,S
1,13,104,1,1,C
1,5,104,1,2,S
1,5,104,1,3,S
1,5,104,1,4,S
1,5,104,1,5,S
1,13,104,1,5,C
1,5,104,1,6,S
1,5,104,1,7,S
1,5,104,1,8,S
1,5,104,1,9,S
1,5,104,1,10,S
1,5,104,1,11,S
1,5,104,1,12,S
1,5,104,1,13,S
1,5,104,1,14,S
1,5,104,1,15,S
1,5,104,1,16,S
1,5,104,1,17,S
1,5,104,2,1,S
1,5,104,2,2,S
1,5,104,2,3,S
1,5,104,2,4,S
1,5,104,2,5,S
1,5,104,2,6,S
1,5,104,2,7,S
1,5,104,2,8,S
1,5,104,2,9,S
1,5,104,2,10,S
1,5,104,2,11,S
1,5,104,2,12,S
1,5,104,2,13,S
1,5,104,2,14,S
1,5,104,2,15,S
1,5,104,2,16,S
1,5,104,2,17,S
1,5,104,3,1,S
1,5,104,3,2,S
1,5,104,3,3,S
1,5,104,3,4,S
1,5,104,3,5,S
1,5,104,3,6,S
1,5,104,3,7,S
1,5,104,3,8,S
1,5,104,3,9,S
1,5,104,3,10,S
1,5,104,3,11,S
1,5,104,3,12,S
1,5,104,3,13,S
1,5,104,3,14,S
1,5,104,3,15,S
1,5,104,3,16,S
1,5,104,3,17,S
1,5,104,4,1,S
1,5,104,4,2,S
1,5,104,4,3,S
1,5,104,4,4,S
1,5,104,4,5,S
1,5,104,4,6,S
1,5,104,4,7,S
1,5,104,4,8,S
1,5,104,4,9,S
1,5,104,4,10,S
1,5,104,4,11,S
1,5,104,4,12,S
1,5,104,4,13,S
1,5,104,4,14,S
1,5,104,4,15,S
1,5,104,4,16,S
1,5,104,4,17,S
1,5,104,5,1,S
1,5,104,5,2,S
1,5,104,5,3,S
1,5,104,5,4,S
1,5,104,5,5,S
1,5,104,5,6,S
1,5,104,5,7,S
1,5,104,5,8,S
1,5,104,5,9,S
1,5,104,5,10,S
1,5,104,5,11,S
1,5,104,5,12,S
1,5,104,5,13,S
1,5,104,5,14,S
1,5,104,5,15,S
1,5,104,5,16,S
1,5,104,5,17,S
1,5,104,6,1,S
1,5,104,6,2,S
1,5,104,6,3,S
1,5,104,6,4,S
1,5,104,6,5,S
1,5,104,6,6,S
1,5,104,6,7,S
1,5,104,6,8,S
1,5,104,6,9,S
1,5,104,6,10,S
1,5,104,6,11,S
1,5,104,6,12,S
1,5,104,6,13,S
1,5,104,6,14,S
1,5,104,6,15,S
1,5,104,6,16,S
1,5,104,6,17,S
1,5,104,7,1,S
1,5,104,7,2,S
1,5,104,7,3,S
1,5,104,7,4,S
1,5,104,7,5,S
1,5,104,7,6,S
1,5,104,7,7,S
1,5,104,7,8,S
1,5,104,7,9,S
1,5,104,7,10,S
1,5,104,7,11,S
1,5,104,7,12,S
1,5,104,7,13,S
1,5,104,7,14,S
1,5,104,7,15,S
1,5,104,7,16,S
1,5,104,7,17,S
1,5,104,8,1,S
1,5,104,8,2,S
1,5,104,8,3,S
1,5,104,8,4,S
1,5,104,8,5,S
1,5,104,8,6,S
1,5,104,8,7,S
1,5,104,8,8,S
1,5,104,8,9,S
1,5,104,8,10,S
1,5,104,8,11,S
1,5,104,8,12,S
1,5,104,8,13,S
1,5,104,8,14,S
1,5,104,8,15,S
1,5,104,8,16,S
1,5,104,8,17,S
1,5,104,9,1,S
1,5,104,9,2,S
1,5,104,9,3,S
1,5,104,9,4,S
1,5,104,9,5,S
1,5,104,9,6,S
1,5,104,9,7,S
1,5,104,9,8,S
1,5,104,9,9,S
1,5,104,9,10,S
1,5,104,9,11,S
1,5,104,9,12,S
1,5,104,9,13,S
1,5,104,9,14,S
1,5,104,9,15,S
1,5,104,9,16,S
1,5,104,9,17,S
1,5,104,10,1,S
1,5,104,10,2,S
1,5,104,10,3,S
1,5,104,10,4,S
1,5,104,10,5,S
1,5,104,10,6,S
1,5,104,10,7,S
1,5,104,10,8,S
1,5,104,10,9,S
1,5,104,10,10,S
1,5,104,10,11,S
1,5,104,10,12,S
1,5,104,10,13,S
1,5,104,10,14,S
1,5,104,10,15,S
1,5,104,10,16,S
1,5,104,10,17,S
1,5,104,11,1,S
1,5,104,11,2,S
1,5,104,11,3,S
1,5,104,11,4,S
1,5,104,11,5,S
1,5,104,11,6,S
1,5,104,11,7,S
1,5,104,11,8,S
1,5,104,11,9,S
1,5,104,11,10,S
1,5,104,11,11,S
1,5,104,11,12,S
1,5,104,11,13,S
1,5,104,11,14,S
1,5,104,11,15,S
1,5,104,11,16,S
1,5,104,11,17,S
1,5,104,12,1,S
1,5,104,12,2,S
1,5,104,12,3,S
1,5,104,12,4,S
1,5,104,12,5,S
1,5,104,12,6,S
1,5,104,12,7,S
1,5,104,12,8,S
1,5,104,12,9,S
1,5,104,12,10,S
1,5,104,12,11,S
1,5,104,12,12,S
1,5,104,12,13,S
1,5,104,12,14,S
1,5,104,12,15,S
1,5,104,12,16,S
1,5,104,12,17,S
1,5,104,13,1,S
1,5,104,13,2,S
1,5,104,13,3,S
1,5,104,13,4,S
1,5,104,13,5,S
1,5,104,13,6,S
1,5,104,13,7,S
1,5,104,13,8,S
1,5,104,13,9,S
1,5,104,13,10,S
1,5,104,13,11,S
1,5,104,13,12,S
1,5,104,13,13,S
1,5,104,13,14,S
1,5,104,13,15,S
1,5,104,13,16,S
1,5,104,13,17,S
1,5,104,14,1,S
1,5,104,14,2,S
1,5,104,14,3,S
1,5,104,14,4,S
1,5,104,14,5,S
1,5,104,14,6,S
1,5,104,14,7,S
1,5,104,14,8,S
1,5,104,14,9,S
1,5,104,14,10,S
1,5,104,14,11,S
1,5,104,14,12,S
1,5,104,14,13,S
1,5,104,14,14,S
1,5,104,14,15,S
1,5,104,14,16,S
1,5,104,14,17,S
1,5,104,15,1,S
1,5,104,15,2,S
1,5,104,15,3,S
1,5,104,15,4,S
1,5,104,15,5,S
1,5,104,15,6,S
1,5,104,15,7,S
1,5,104,15,8,S
1,5,104,15,9,S
1,5,104,15,10,S
1,5,104,15,11,S
1,5,104,15,12,S
1,5,104,15,13,S
1,5,104,15,14,S
1,5,104,15,15,S
1,5,104,15,16,S
1,5,104,15,17,S
1,5,104,16,1,S
1,5,104,16,2,S
1,5,104,16,3,S
1,5,104,16,4,S
1,5,104,16,5,S
1,5,104,16,6,S
1,5,104,16,7,S
1,5,104,16,8,S
1,5,104,16,9,S
1,5,104,16,10,S
1,5,104,16,11,S
1,5,104,16,12,S
1,5,104,16,13,S
1,5,104,16,14,S
1,5,104,16,15,S
1,5,104,16,16,S
1,5,104,16,17,S
1,5,104,17,1,S
1,5,104,17,2,S
1,5,104,17,3,S
1,5,104,17,4,S
1,5,104,17,5,S
1,5,104,17,6,S
1,5,104,17,7,S
1,5,104,17,8,S
1,5,104,17,9,S
1,5,104,17,10,S
1,5,104,17,11,S
1,5,104,17,12,S
1,5,104,17,13,S
1,5,104,17,14,S
1,5,104,17,15,S
1,5,104,17,16,S
1,5,104,17,17,S
1,5,104,18,1,S
1,5,104,18,2,S
1,5,104,18,3,S
1,5,104,18,4,S
1,5,104,18,5,S
1,5,104,18,6,S
1,5,104,18,7,S
1,5,104,18,8,S
1,5,104,18,9,S
1,5,104,18,10,S
1,5,104,18,11,S
1,5,104,18,12,S
1,5,104,18,13,S
1,5,104,18,14,S
1,5,104,18,15,S
1,5,104,18,16,S
1,5,104,18,17,S
1,5,104,19,1,S
1,5,104,19,2,S
1,5,104,19,3,S
1,5,104,19,4,S
1,5,104,19,5,S
1,5,104,19,6,S
1,5,104,19,7,S
1,5,104,19,8,S
1,5,104,19,9,S
1,5,104,19,10,S
1,5,104,19,11,S
1,5,104,19,12,S
1,5,104,19,13,S
1,5,104,19,14,S
1,5,104,19,15,S
1,5,104,19,16,S
1,5,104,19,17,S
1,5,104,20,1,S
1,5,104,20,2,S
1,5,104,20,3,S
1,5,104,20,4,S
1,5,104,20,5,S
1,5,104,20,6,S
1,5,104,20,7,S
1,5,104,20,8,S
1,5,104,20,9,S
1,5,104,20,10,S
1,5,104,20,11,S
1,5,104,20,12,S
1,5,104,20,13,S
1,5,104,20,14,S
1,5,104,20,15,S
1,5,104,20,16,S
1,5,104,20,17,S
1,5,105,1,1,S
1,13,105,1,1,C
1,5,105,1,2,S
1,5,105,1,3,S
1,5,105,1,4,S
1,5,105,1,5,S
1,13,105,1,5,C
1,5,105,1,6,S
1,5,105,1,7,S
1,5,105,1,8,S
1,5,105,1,9,S
1,5,105,1,10,S
1,5,105,1,11,S
1,5,105,1,12,S
1,5,105,1,13,S
1,5,105,1,14,S
1,5,105,1,15,S
1,5,105,2,1,S
1,5,105,2,2,S
1,5,105,2,3,S
1,5,105,2,4,S
1,5,105,2,5,S
1,5,105,2,6,S
1,5,105,2,7,S
1,5,105,2,8,S
1,5,105,2,9,S
1,5,105,2,10,S
1,5,105,2,11,S
1,5,105,2,12,S
1,5,105,2,13,S
1,5,105,2,14,S
1,5,105,2,15,S
1,5,105,3,1,S
1,5,105,3,2,S
1,5,105,3,3,S
1,5,105,3,4,S
1,5,105,3,5,S
1,5,105,3,6,S
1,5,105,3,7,S
1,5,105,3,8,S
1,5,105,3,9,S
1,5,105,3,10,S
1,5,105,3,11,S
1,5,105,3,12,S
1,5,105,3,13,S
1,5,105,3,14,S
1,5,105,3,15,S
1,5,105,4,1,S
1,5,105,4,2,S
1,5,105,4,3,S
1,5,105,4,4,S
1,5,105,4,5,S
1,5,105,4,6,S
1,5,105,4,7,S
1,5,105,4,8,S
1,5,105,4,9,S
1,5,105,4,10,S
1,5,105,4,11,S
1,5,105,4,12,S
1,5,105,4,13,S
1,5,105,4,14,S
1,5,105,4,15,S
1,5,105,5,1,S
1,5,105,5,2,S
1,5,105,5,3,S
1,5,105,5,4,S
1,5,105,5,5,S
1,5,105,5,6,S
1,5,105,5,7,S
1,5,105,5,8,S
1,5,105,5,9,S
1,5,105,5,10,S
1,5,105,5,11,S
1,5,105,5,12,S
1,5,105,5,13,S
1,5,105,5,14,S
1,5,105,5,15,S
1,5,105,6,1,S
1,5,105,6,2,S
1,5,105,6,3,S
1,5,105,6,4,S
1,5,105,6,5,S
1,5,105,6,6,S
1,5,105,6,7,S
1,5,105,6,8,S
1,5,105,6,9,S
1,5,105,6,10,S
1,5,105,6,11,S
1,5,105,6,12,S
1,5,105,6,13,S
1,5,105,6,14,S
1,5,105,6,15,S
1,5,105,7,1,S
1,5,105,7,2,S
1,5,105,7,3,S
1,5,105,7,4,S
1,5,105,7,5,S
1,5,105,7,6,S
1,5,105,7,7,S
1,5,105,7,8,S
1,5,105,7,9,S
1,5,105,7,10,S
1,5,105,7,11,S
1,5,105,7,12,S
1,5,105,7,13,S
1,5,105,7,14,S
1,5,105,7,15,S
1,5,105,8,1,S
1,5,105,8,2,S
1,5,105,8,3,S
1,5,105,8,4,S
1,5,105,8,5,S
1,5,105,8,6,S
1,5,105,8,7,S
1,5,105,8,8,S
1,5,105,8,9,S
1,5,105,8,10,S
1,5,105,8,11,S
1,5,105,8,12,S
1,5,105,8,13,S
1,5,105,8,14,S
1,5,105,8,15,S
1,5,105,9,1,S
1,5,105,9,2,S
1,5,105,9,3,S
1,5,105,9,4,S
1,5,105,9,5,S
1,5,105,9,6,S
1,5,105,9,7,S
1,5,105,9,8,S
1,5,105,9,9,S
1,5,105,9,10,S
1,5,105,9,11,S
1,5,105,9,12,S
1,5,105,9,13,S
1,5,105,9,14,S
1,5,105,9,15,S
1,5,105,10,1,S
1,5,105,10,2,S
1,5,105,10,3,S
1,5,105,10,4,S
1,5,105,10,5,S
1,5,105,10,6,S
1,5,105,10,7,S
1,5,105,10,8,S
1,5,105,10,9,S
1,5,105,10,10,S
1,5,105,10,11,S
1,5,105,10,12,S
1,5,105,10,13,S
1,5,105,10,14,S
1,5,105,10,15,S
1,5,105,11,1,S
1,5,105,11,2,S
1,5,105,11,3,S
1,5,105,11,4,S
1,5,105,11,5,S
1,5,105,11,6,S
1,5,105,11,7,S
1,5,105,11,8,S
1,5,105,11,9,S
1,5,105,11,10,S
1,5,105,11,11,S
1,5,105,11,12,S
1,5,105,11,13,S
1,5,105,11,14,S
1,5,105,11,15,S
1,5,105,12,1,S
1,5,105,12,2,S
1,5,105,12,3,S
1,5,105,12,4,S
1,5,105,12,5,S
1,5,105,12,6,S
1,5,105,12,7,S
1,5,105,12,8,S
1,5,105,12,9,S
1,5,105,12,10,S
1,5,105,12,11,S
1,5,105,12,12,S
1,5,105,12,13,S
1,5,105,12,14,S
1,5,105,12,15,S
1,5,105,13,1,S
1,5,105,13,2,S
1,5,105,13,3,S
1,5,105,13,4,S
1,5,105,13,5,S
1,5,105,13,6,S
1,5,105,13,7,S
1,5,105,13,8,S
1,5,105,13,9,S
1,5,105,13,10,S
1,5,105,13,11,S
1,5,105,13,12,S
